latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-42.489746,-71.451195,343.73,0.56,0.69,2014-01-17,1948,N,VIIRS,n,1,309.34,51.31,D,0
-42.489765,-71.451187,337.48,0.56,0.69,2014-01-17,1948,N,VIIRS,n,1,310.16,70.39,D,0
-42.493885,-71.441956,345.41,0.56,0.69,2014-01-17,1948,N,VIIRS,n,1,304.72,44.2,D,0
-42.487843,-71.445381,367,0.56,0.69,2014-01-17,1948,N,VIIRS,h,1,313.03,44.2,D,0
-42.487885,-71.445358,367,0.56,0.69,2014-01-17,1948,N,VIIRS,h,1,311.23,70.39,D,0
-42.927895,-71.274216,339.69,0.44,0.38,2014-02-01,1830,N,VIIRS,n,1,287.47,11.08,D,0
-42.97163,-72.148933,330.15,0.6,0.53,2014-03-01,1806,N,VIIRS,n,1,294.68,4.22,D,0
-43.080608,-71.480194,367,0.62,0.71,2014-03-11,1954,N,VIIRS,h,1,290.21,17.28,D,0
-43.226089,-72.431961,326.65,0.42,0.45,2014-03-13,1918,N,VIIRS,n,1,276.17,3.09,D,0
-43.292839,-71.170242,335.39,0.54,0.68,2014-03-22,1948,N,VIIRS,n,1,295.13,13.51,D,0
-43.293156,-71.166756,367,0.54,0.68,2014-03-22,1948,N,VIIRS,h,1,300.61,12.22,D,0
-43.291103,-71.160469,329.46,0.54,0.68,2014-03-22,1948,N,VIIRS,n,1,296.83,12.22,D,0
-43.290783,-71.163826,367,0.54,0.68,2014-03-22,1948,N,VIIRS,h,1,297.38,22.38,D,0
-43.301926,-71.156487,367,0.33,0.55,2014-03-23,1930,N,VIIRS,h,1,301.34,33.69,D,0
-43.298653,-71.165092,352.91,0.33,0.55,2014-03-23,1930,N,VIIRS,n,1,300.79,16.03,D,0
-43.297691,-71.161545,354.98,0.33,0.55,2014-03-23,1930,N,VIIRS,n,1,297.52,16.03,D,0
-43.296738,-71.158035,354.65,0.33,0.55,2014-03-23,1930,N,VIIRS,n,1,308.67,33.69,D,0
-43.295776,-71.15451,331.1,0.33,0.55,2014-03-23,1930,N,VIIRS,n,1,292.23,33.69,D,0
-43.194019,-71.814247,296.38,0.53,0.42,2014-03-24,0518,N,VIIRS,n,1,275.09,0.64,N,0
-42.10062,-72.499306,334.84,0.4,0.37,2014-03-25,1854,N,VIIRS,n,1,290.17,2.97,D,0
-43.116165,-71.561722,330.04,0.33,0.55,2014-04-24,1936,N,VIIRS,n,1,282.16,1.37,D,0
-43.202263,-71.866402,330.89,0.39,0.36,2014-06-27,0536,N,VIIRS,n,1,275.68,5.17,N,0
-43.071991,-72.024124,335.21,0.44,0.46,2014-10-07,1924,N,VIIRS,n,1,290.4,4.09,D,0
-43.246265,-71.958069,333.25,0.46,0.39,2014-12-02,1836,N,VIIRS,n,1,287.29,4.84,D,0
-43.198322,-72.382362,367,0.49,0.65,2014-12-03,1954,N,VIIRS,h,1,301.27,22.92,D,3
-43.15007,-72.422615,331.67,0.49,0.65,2014-12-03,1954,N,VIIRS,n,1,291.88,5.15,D,0
-43.144272,-72.425667,367,0.49,0.65,2014-12-03,1954,N,VIIRS,h,1,292.63,10.58,D,0
-43.145378,-72.42923,355.49,0.49,0.65,2014-12-03,1954,N,VIIRS,n,1,295.51,10.58,D,0
-43.199753,-72.387024,344.22,0.49,0.65,2014-12-03,1954,N,VIIRS,n,1,296.61,32,D,3
-43.198082,-72.381577,367,0.49,0.65,2014-12-03,1954,N,VIIRS,h,1,295.21,41.29,D,3
-43.199997,-72.387703,350.57,0.49,0.65,2014-12-03,1954,N,VIIRS,n,1,291.49,22.92,D,3
-43.483635,-72.347778,338.9,0.48,0.65,2014-12-03,1954,N,VIIRS,n,1,295.29,4.66,D,0
-43.247932,-71.954895,342.64,0.41,0.45,2014-12-08,1824,N,VIIRS,n,1,295.08,5.58,D,0
-43.104622,-72.443352,333.22,0.39,0.36,2014-12-12,1848,N,VIIRS,n,1,294.97,2.69,D,0
-43.101231,-72.444084,334.73,0.39,0.36,2014-12-12,1848,N,VIIRS,n,1,289.59,6.35,D,0
-43.363865,-72.361526,328.53,0.61,0.54,2014-12-14,1806,N,VIIRS,n,1,291.69,8.02,D,0
-43.362347,-72.362175,338.67,0.61,0.54,2014-12-14,1806,N,VIIRS,n,1,292.06,12.24,D,0
-43.364235,-72.367996,332.54,0.61,0.54,2014-12-14,1806,N,VIIRS,n,1,290.39,6,D,0
-42.915459,-71.294846,302.5,0.39,0.36,2015-01-10,0542,N,VIIRS,n,1,281.01,0.63,N,0
-42.516758,-71.421288,336.52,0.42,0.37,2015-01-23,1900,N,VIIRS,l,1,310.13,3.56,D,0
-42.26825,-71.711365,297.23,0.55,0.43,2015-01-30,0606,N,VIIRS,n,1,287.04,0.98,N,0
